retention,area
8.094,85001
8.101,82464
8.109,81220
8.116,77983
8.123,75397
8.131,73169
8.138,70255
8.145,66764
8.153,65377
8.16,64457
8.167,63679
8.175,64765
8.182,64968
8.189,66089
8.197,67198
8.204,66972
8.211,65216
8.219,63864
8.226,61444
8.233,60093
8.241,58641
8.248,56711
8.255,57684
8.263,57475
8.27,58687
8.277,58132
8.284,58232
8.292,56059
8.299,54388
8.306,52119
8.314,52224
8.321,50051
8.328,49466
8.336,50524
8.343,49688
8.35,50577
8.358,49336
8.365,49380
8.372,48237
8.38,49418
8.387,51110
8.394,51708
8.402,52726
8.409,54279
8.416,52525
8.424,51159
8.431,49868
8.438,48255
8.446,47327
8.453,48709
8.46,51101
8.468,53968
8.475,58898
8.482,69830
8.489,85198
8.497,99071
8.504,110170
8.511,110205
8.519,107302
8.526,97755
8.533,90937
8.541,85192
8.548,79936
8.555,74441
8.563,71285
8.57,69072
8.577,66919
8.585,67467
8.592,70600
8.599,71623
8.607,75693
8.614,75636
8.621,77335
8.629,76394
8.636,73660
8.643,74688
8.651,75592
8.658,75454
8.665,74861
8.673,74324
8.68,72866
8.687,73938
8.694,72244
8.702,72001
8.709,78192
8.716,88065
8.724,102067
8.731,115318
8.738,122506
8.746,124174
8.753,114879
8.76,106743
8.768,96752
8.775,89271
8.782,85338
8.79,84855
8.797,83542
8.804,81590
8.812,79327
8.819,78560
8.826,75066
8.834,72202
8.841,72190
8.848,70169
8.856,66350
8.863,65178
8.87,62480
8.878,61527
8.885,61366
8.892,61653
8.9,62546
8.907,65038
8.914,67690
8.921,70107
8.929,70835
8.936,71551
8.943,71375
8.951,74116
8.958,81937
8.965,96768
8.973,114434
8.98,135753
8.987,148966
8.995,150047
9.002,143093
9.009,129683
9.017,115907
9.024,104734
9.031,97389
9.039,91539
9.046,87204
9.053,84386
9.061,82969
9.068,81338
9.075,81275
9.083,81189
9.09,80612
9.097,78020
9.105,76019
9.112,74303
9.119,72966
9.127,70329
9.134,68305
9.141,67020
9.148,66963
9.156,68163
9.163,70111
9.17,71508
9.178,71683
9.185,71765
9.192,72664
9.2,70999
9.207,72276
9.214,71304
9.222,71156
9.229,72637
9.236,72938
9.244,72206
9.251,70240
9.258,68448
9.266,66836
9.273,67288
9.28,67906
9.288,71990
9.295,78117
9.302,87795
9.31,97243
9.317,108999
9.324,115608
9.332,118127
9.339,114905
9.346,108042
9.353,101465
9.361,94838
9.368,91554
9.375,88389
9.383,85175
9.39,83433
9.397,81245
9.405,76436
9.412,74179
9.419,71386
9.427,70966
9.434,70800
9.441,71036
9.449,69921
9.456,70998
9.463,70133
9.471,68506
9.478,67842
9.485,66896
9.493,66052
9.5,66295
9.507,64740
9.515,64506
9.522,63667
9.529,63565
9.537,64100
9.544,66598
9.551,70350
9.559,71751
9.566,77981
9.573,86531
9.58,94454
9.588,101571
9.595,104260
9.602,103487
9.61,101556
9.617,96361
9.624,92974
9.632,89409
9.639,84219
9.646,80579
9.654,76469
9.661,74269
9.668,71278
9.676,70092
9.683,72548
9.69,79591
9.698,90209
9.705,108504
9.712,122056
9.72,132121
9.727,133452
9.734,126912
9.742,117258
9.749,108448
9.756,100818
9.764,96086
9.771,92463
9.778,89321
9.785,88431
9.793,85898
9.8,83762
9.807,83902
9.815,82941
9.822,82275
9.829,82004
9.837,85390
9.844,87866
9.851,93313
9.859,101738
9.866,111052
9.873,119455
9.881,127200
9.888,130599
9.895,127851
9.903,121620
9.91,112758
9.917,107003
9.925,103337
9.932,104103
9.939,106891
9.947,109093
9.954,107330
9.961,105322
9.969,101267
9.976,96810
9.983,91185
9.991,87593
9.998,86486
10.005,84369
10.012,80526
10.02,80362
10.027,78233
10.034,75640
10.042,76232
10.049,74882
10.056,73148
10.064,72809
10.071,70965
10.078,71211
10.086,70481
10.093,71892
10.1,73115
10.108,71066
10.115,71371
10.122,68905
10.13,66851
10.137,65783
10.144,62742
10.152,62374
10.159,62508
10.166,68385
10.174,74936
10.181,89769
10.188,109515
10.196,122863
10.203,133385
10.21,133259
10.217,126698
10.225,118722
10.232,108167
10.239,103739
10.247,97446
10.254,97750
10.261,97985
10.269,95966
10.276,93863
10.283,94352
10.291,93364
10.298,92595
10.305,92746
10.313,93691
10.32,97913
10.327,97051
10.335,96132
10.342,93276
10.349,91863
10.357,88151
10.364,87684
10.371,85868
10.379,83689
10.386,80993
10.393,80445
10.401,79533
10.408,80484
10.415,77311
10.422,74177
10.43,73879
10.437,72095
10.444,71381
10.452,69778
10.459,70375
10.466,70069
10.474,70891
10.481,70230
10.488,71099
10.496,72708
10.503,72428
10.51,74584
10.518,77110
10.525,82379
10.532,88058
10.54,93139
10.547,96384
10.554,99565
10.562,98696
10.569,99195
10.576,96737
10.584,97493
10.591,97456
10.598,100169
10.606,100937
10.613,102720
10.62,105018
10.628,103804
10.635,100101
10.642,96608
10.649,94111
10.657,90538
10.664,88188
10.671,87472
10.679,87508
10.686,86710
10.693,87461
10.701,86021
10.708,85567
10.715,85260
10.723,88209
10.73,87104
10.737,85639
10.745,86298
10.752,85120
10.759,87133
10.767,85856
10.774,85991
10.781,88101
10.789,92546
10.796,97125
10.803,99613
10.811,102898
10.818,104501
10.825,106596
10.833,109412
10.84,113013
10.847,117804
10.854,120714
10.862,118948
10.869,117238
10.876,112765
10.884,114815
10.891,127794
10.898,158663
10.906,217698
10.913,310465
10.92,421751
10.928,534128
10.935,633397
10.942,671833
10.95,645857
10.957,559654
10.964,464506
10.972,380249
10.979,323594
10.986,283329
10.994,253947
11.001,227766
11.008,208869
11.016,193957
11.023,178174
11.03,167051
11.038,158677
11.045,148823
11.052,142369
11.06,134346
11.067,128351
11.074,122878
11.081,115897
11.089,111951
11.096,107213
11.103,104068
11.111,101709
11.118,100229
11.125,96681
11.133,94304
11.14,94511
11.147,93269
11.155,90831
11.162,92173
11.169,94837
11.177,103410
11.184,116731
11.191,127078
11.199,137119
11.206,138607
11.213,135382
11.221,129629
11.228,123357
11.235,115668
11.243,110829
11.25,105741
11.257,99368
11.265,96261
11.272,92157
11.279,88750
11.286,84881
11.294,84427
11.301,83682
11.308,83875
11.316,83444
11.323,86312
11.33,87436
11.338,86419
11.345,86068
11.352,85661
11.36,85790
11.367,85727
11.374,86924
11.382,88871
11.389,91873
11.396,94554
11.404,100283
11.411,114215
11.418,140011
11.426,186734
11.433,249748
11.44,317624
11.448,375253
11.455,401734
11.462,394711
11.47,355661
11.477,305649
11.484,256088
11.492,222416
11.499,194469
11.506,179640
11.513,170015
11.521,163881
11.528,163179
11.535,159773
11.543,159956
11.55,159448
11.557,163731
11.565,172902
11.572,190665
11.579,215865
11.587,247326
11.594,277840
11.601,302575
11.609,312792
11.616,301518
11.623,276666
11.631,252952
11.638,230540
11.645,214565
11.653,205171
11.66,200720
11.667,197325
11.675,190486
11.682,183948
11.689,177404
11.697,166193
11.704,161602
11.711,153130
11.718,147953
11.726,139305
11.733,134140
11.74,131981
11.748,129582
11.755,128587
11.762,127177
11.77,125523
11.777,125254
11.784,123309
11.792,123877
11.799,124706
11.806,128029
11.814,131779
11.821,133684
11.828,135375
11.836,136495
11.843,133813
11.85,130812
11.858,128261
11.865,127348
11.872,129097
11.88,130299
11.887,132039
11.894,130976
11.902,128986
11.909,128270
11.916,130330
11.924,132524
11.931,136239
11.938,140389
11.945,141756
11.953,141715
11.96,139116
11.967,138126
11.975,134136
11.982,131399
11.989,127470
11.997,123826
12.004,115954
12.011,111452
12.019,107787
12.026,103351
12.033,100281
12.041,102315
12.048,103761
12.055,108690
12.063,110936
12.07,113513
12.077,116163
12.085,117260
12.092,117207
12.099,116423
12.107,115483
12.114,113111
12.121,113912
12.129,114332
12.136,116638
12.143,119308
12.15,120084
12.158,118728
12.165,116545
12.172,114054
12.18,112635
12.187,107890
12.194,107873
12.202,105143
12.209,107652
12.216,109621
12.224,116346
12.231,121008
12.238,123580
12.246,126304
12.253,125594
12.26,123097
12.268,120100
12.275,128272
12.282,145701
12.29,175478
12.297,205001
12.304,229911
12.312,236548
12.319,233669
12.326,231289
12.334,227446
12.341,223204
12.348,219564
12.355,214999
12.363,204541
12.37,194304
12.377,182795
12.385,175519
12.392,167258
12.399,158869
12.407,154666
12.414,152719
12.421,149747
12.429,146485
12.436,141712
12.443,135478
12.451,133339
12.458,129473
12.465,127967
12.473,126436
12.48,125409
12.487,125351
12.495,125496
12.502,129149
12.509,131531
12.517,136393
12.524,136296
12.531,135409
12.539,134437
12.546,130260
12.553,128081
12.561,125702
12.568,124497
12.575,124333
12.582,124932
12.59,126498
12.597,126736
12.604,127999
12.612,126593
12.619,124715
12.626,121557
12.634,120567
12.641,123187
12.648,122978
12.656,123011
12.663,123277
12.67,123008
12.678,124819
12.685,124572
12.692,126878
12.7,130282
12.707,137136
12.714,145228
12.722,155534
12.729,168448
12.736,181071
12.744,189478
12.751,191176
12.758,187290
12.766,178223
12.773,168159
12.78,158555
12.787,152954
12.795,147075
12.802,142738
12.809,140740
12.817,136407
12.824,134159
12.831,132088
12.839,128772
12.846,126050
12.853,123780
12.861,124720
12.868,126434
12.875,129065
12.883,132576
12.89,139625
12.897,140728
12.905,141449
12.912,140787
12.919,137455
12.927,133618
12.934,129126
12.941,128608
12.949,126199
12.956,123258
12.963,121197
12.971,119855
12.978,118047
12.985,114524
12.993,113850
13,113763
13.007,113650
13.014,116381
13.022,118691
13.029,124685
13.036,129306
13.044,133903
13.051,138900
13.058,140052
13.066,141487
13.073,141400
13.08,143139
13.088,141149
13.095,141088
13.102,139835
13.11,138203
13.117,139382
13.124,145837
13.132,155619
13.139,172629
13.146,191849
13.154,207440
13.161,213884
13.168,215139
13.176,208103
13.183,192053
13.19,183537
13.198,177570
13.205,170940
13.212,165831
13.219,158868
13.227,153169
13.234,146395
13.241,139864
13.249,135522
13.256,136763
13.263,144208
13.271,156290
13.278,173150
13.285,191651
13.293,204521
13.3,213515
13.307,212027
13.315,209110
13.322,203365
13.329,193719
13.337,186704
13.344,180349
13.351,173695
13.359,173095
13.366,171896
13.373,179313
13.381,191370
13.388,207180
13.395,222125
13.403,228476
13.41,230450
13.417,227090
13.425,218851
13.432,208326
13.439,198133
13.446,187693
13.454,180376
13.461,177263
13.468,171668
13.476,165885
13.483,159754
13.49,155843
13.498,154970
13.505,161516
13.512,175417
13.52,199620
13.527,228493
13.534,255987
13.542,273642
13.549,277837
13.556,276148
13.564,264250
13.571,250458
13.578,239671
13.586,231730
13.593,223369
13.6,215189
13.608,203230
13.615,191440
13.622,182107
13.63,168397
13.637,156555
13.644,150266
13.651,143617
13.659,138968
13.666,136676
13.673,135754
13.681,133368
13.688,131906
13.695,131693
13.703,130654
13.71,131497
13.717,133251
13.725,134044
13.732,134315
13.739,134033
13.747,136168
13.754,135524
13.761,134644
13.769,134752
13.776,136476
13.783,135540
13.791,136181
13.798,137448
13.805,138516
13.813,139247
13.82,138762
13.827,137352
13.835,136407
13.842,136666
13.849,138916
13.857,141055
13.864,140920
13.871,138742
13.878,136506
13.886,133293
13.893,129980
13.9,126478
13.908,125514
13.915,124107
13.922,123840
13.93,123613
13.937,124195
13.944,128151
13.952,129670
13.959,132081
13.966,136111
13.974,139815
13.981,143631
13.988,146207
13.996,152980
14.003,159691
14.01,165359
14.018,170784
14.025,173231
14.032,167577
14.04,161285
14.047,157099
14.054,149567
14.062,150634
14.069,149097
14.076,150960
14.083,151465
14.091,155984
14.098,160981
14.105,164103
14.113,167374
14.12,168257
14.127,168744
14.135,171068
14.142,169576
14.149,170403
14.157,173586
14.164,173501
14.171,173757
14.179,173750
14.186,171082
14.193,170696
14.201,168010
14.208,168137
14.215,166038
14.223,164816
14.23,166634
14.237,168619
14.245,173361
14.252,176545
14.259,178070
14.267,183016
14.274,183413
14.281,186775
14.288,186796
14.296,184804
14.303,178492
14.31,175814
14.318,171181
14.325,166310
14.332,165412
14.34,168044
14.347,172801
14.354,179784
14.362,192025
14.369,198222
14.376,205504
14.384,203299
14.391,197385
14.398,184376
14.406,172752
14.413,162514
14.42,152599
14.428,147143
14.435,140184
14.442,137572
14.45,134020
14.457,133127
14.464,134444
14.472,137001
14.479,137418
14.486,136704
14.494,140587
14.501,139647
14.508,140638
14.515,141175
14.523,142480
14.53,140587
14.537,141573
14.545,141381
14.552,138366
14.559,135722
14.567,136735
14.574,136653
14.581,140469
14.589,144314
14.596,153102
14.603,165458
14.611,172783
14.618,182441
14.625,185435
14.633,186052
14.64,182228
14.647,177331
14.655,168679
14.662,165041
14.669,160105
14.677,156982
14.684,153732
14.691,152390
14.699,148626
14.706,145351
14.713,143286
14.72,138477
14.728,138678
14.735,136969
14.742,133988
14.75,134097
14.757,140556
14.764,152492
14.772,181647
14.779,224428
14.786,270723
14.794,309629
14.801,329139
14.808,329754
14.816,322465
14.823,310739
14.83,290650
14.838,273606
14.845,255094
14.852,239827
14.86,227149
14.867,217522
14.874,205463
14.882,198056
14.889,193252
14.896,196960
14.904,212942
14.911,246273
14.918,289899
14.926,337375
14.933,368275
14.94,377319
14.947,364918
14.955,338123
14.962,301286
14.969,267789
14.977,239433
14.984,216013
14.991,203194
14.999,190582
15.006,182637
15.013,175908
15.021,166274
15.028,159083
15.035,151792
15.043,146909
15.05,141218
15.057,139718
15.065,138356
15.072,139047
15.079,139749
15.087,138456
15.094,138192
15.101,135254
15.109,133760
15.116,133505
15.123,131880
15.131,133238
15.138,132566
15.145,136890
15.152,139803
15.16,143191
15.167,145800
15.174,146512
15.182,149114
15.189,150274
15.196,153702
15.204,158356
15.211,161165
15.218,163464
15.226,164801
15.233,160389
15.24,157060
15.248,157279
15.255,156053
15.262,155721
15.27,155235
15.277,154356
15.284,151106
15.292,155267
15.299,153244
15.306,153735
15.314,154805
15.321,154167
15.328,156328
15.336,155516
15.343,155260
15.35,155736
15.358,154505
15.365,153102
15.372,153520
15.379,152292
15.387,153129
15.394,148690
15.401,148263
15.409,143945
15.416,140746
15.423,142664
15.431,142143
15.438,146376
15.445,147340
15.453,152412
15.46,153825
15.467,154080
15.475,156296
15.482,154096
15.489,155817
15.497,156322
15.504,153465
15.511,153102
15.519,151284
15.526,151320
15.533,150985
15.541,151117
15.548,151173
15.555,149890
15.563,150151
15.57,151775
15.577,151673
15.584,158351
15.592,159210
15.599,164712
15.606,165119
15.614,163443
15.621,162661
15.628,160973
15.636,163126
15.643,161132
15.65,161982
15.658,165945
15.665,173260
15.672,185910
15.68,210747
15.687,238713
15.694,272508
15.702,301419
15.709,314971
15.716,323760
15.724,322307
15.731,312654
15.738,300748
15.746,288387
15.753,268326
15.76,247514
15.768,226131
15.775,206001
15.782,192042
15.79,176357
15.797,168565
15.804,164775
15.811,158441
15.819,165656
15.826,168568
15.833,177368
15.841,183429
15.848,181941
15.855,176696
15.863,170209
15.87,159755
15.877,151884
15.885,143935
15.892,139104
15.899,136052
15.907,135349
15.914,134152
15.921,134483
15.929,132010
15.936,130437
15.943,130900
15.951,129300
15.958,132174
15.965,135738
15.973,138476
15.98,143090
15.987,147658
15.995,152189
16.002,156141
16.009,160368
16.016,162975
16.024,174805
16.031,199013
16.038,240467
16.046,304353
16.053,383403
16.06,457572
16.068,506293
16.075,523916
16.082,499501
16.09,441542
16.097,375980
16.104,313778
16.112,268875
16.119,231638
16.126,209036
16.134,196037
16.141,184067
16.148,179837
16.156,176911
16.163,176164
16.17,174865
16.178,171436
16.185,170896
16.192,169291
16.2,169881
16.207,175555
16.214,181066
16.221,184556
16.229,183199
16.236,177804
16.243,168669
16.251,160562
16.258,150848
16.265,145051
16.273,138448
16.28,137112
16.287,134628
16.295,136209
16.302,138388
16.309,143033
16.317,149352
16.324,156935
16.331,163543
16.339,168791
16.346,172231
16.353,176772
16.361,179632
16.368,184103
16.375,187829
16.383,189413
16.39,189315
16.397,184667
16.405,176918
16.412,167218
16.419,160989
16.427,162373
16.434,176484
16.441,206723
16.448,249710
16.456,300130
16.463,341977
16.47,366516
16.478,356773
16.485,327989
16.492,291045
16.5,257897
16.507,233360
16.514,208828
16.522,191724
16.529,181240
16.536,170300
16.544,164327
16.551,158539
16.558,154082
16.566,150327
16.573,146730
16.58,146480
16.588,146811
16.595,148714
16.602,149607
16.61,156044
16.617,157551
16.624,158803
16.632,157340
16.639,156221
16.646,155080
16.653,150857
16.661,146206
16.668,144857
16.675,141374
16.683,141014
16.69,141664
16.697,138674
16.705,140276
16.712,139862
16.719,137077
16.727,138360
16.734,136084
16.741,133552
16.749,135802
16.756,133624
16.763,137414
16.771,138690
16.778,139801
16.785,141193
16.793,144017
16.8,144398
16.807,140377
16.815,143343
16.822,140517
16.829,139414
16.837,137408
16.844,132382
16.851,131945
16.858,130811
16.866,130052
16.873,128034
16.88,127579
16.888,126216
16.895,125950
16.902,128132
16.91,127450
16.917,129127
16.924,128089
16.932,127416
16.939,128785
16.946,131413
16.954,133037
16.961,133258
16.968,134364
16.976,133461
16.983,131940
16.99,128103
16.998,126312
17.005,124841
17.012,122950
17.02,120559
17.027,122775
17.034,125698
17.042,127872
17.049,130334
17.056,130018
17.064,129114
17.071,128414
17.078,125913
17.085,124231
17.093,124955
17.1,121353
17.107,120012
17.115,117124
17.122,116194
17.129,114485
17.137,110778
17.144,110891
17.151,110950
17.159,110159
17.166,111611
17.173,112188
17.181,113983
17.188,117651
17.195,120883
17.203,120127
17.21,122483
17.217,125773
17.225,130830
17.232,139564
17.239,157563
17.247,181722
17.254,213447
17.261,249796
17.269,274845
17.276,286099
17.283,277658
17.291,255009
17.298,225494
17.305,199411
17.312,179575
17.32,162845
17.327,151733
17.334,147499
17.342,141824
17.349,140350
17.356,135646
17.364,129801
17.371,127937
17.378,124997
17.386,125000
17.393,121323
17.4,118161
17.408,115354
17.415,116595
17.422,115209
17.43,116695
17.437,115953
17.444,115738
17.452,115720
17.459,113028
17.466,114485
17.474,113205
17.481,116261
17.488,119655
17.496,123229
17.503,123187
17.51,121840
17.517,123639
17.525,119708
17.532,119057
17.539,116490
17.547,117212
17.554,114037
17.561,113847
17.569,111016
17.576,113022
17.583,111092
17.591,110127
17.598,109320
17.605,108717
17.613,111985
17.62,114837
17.627,116381
17.635,119892
17.642,121764
17.649,124978
17.657,127542
17.664,130202
17.671,130929
17.679,131613
17.686,131355
17.693,134441
17.701,132557
17.708,131978
17.715,132524
17.723,134026
17.73,136282
17.737,137004
17.744,137385
17.752,134814
17.759,131703
17.766,126278
17.774,124429
17.781,122112
17.788,122141
17.796,126967
17.803,138332
17.81,150670
17.818,168926
17.825,183142
17.832,195452
17.84,200674
17.847,210557
17.854,219433
17.862,236364
17.869,254945
17.876,264911
17.884,266804
17.891,254433
17.898,230922
17.906,203647
17.913,181594
17.92,162589
17.928,150642
17.935,141511
17.942,134510
17.949,130394
17.957,127105
17.964,124069
17.971,122640
17.979,121690
17.986,121552
17.993,122098
18.001,118253
18.008,120849
18.015,118256
18.023,117769
18.03,117235
18.037,118062
18.045,117777
18.052,119257
18.059,118815
18.067,118263
18.074,126712
18.081,133885
18.089,146210
18.096,164334
18.103,181393
18.111,194648
18.118,210696
18.125,228618
18.133,245035
18.14,260653
18.147,269824
18.154,269036
18.162,260007
18.169,239113
18.176,213374
18.184,191404
18.191,173521
18.198,164015
18.206,159146
18.213,157929
18.22,160471
18.228,165442
18.235,172732
18.242,182424
18.25,182367
18.257,181567
18.264,174934
18.272,161921
18.279,150140
18.286,140858
18.294,134372
18.301,128350
18.308,123502
18.316,123365
18.323,126901
18.33,133683
18.338,151038
18.345,178680
18.352,210768
18.36,242913
18.367,260352
18.374,268893
18.381,255338
18.389,234371
18.396,213771
18.403,194859
18.411,182703
18.418,171329
18.425,159922
18.433,152977
18.44,145888
18.447,140770
18.455,139168
18.462,137781
18.469,134040
18.477,129566
18.484,126476
18.491,124845
18.499,123436
18.506,124730
18.513,128406
18.521,130581
18.528,134876
18.535,137667
18.543,137645
18.55,138072
18.557,138893
18.565,138604
18.572,136679
18.579,132478
18.586,132777
18.594,127071
18.601,124109
18.608,123247
18.616,121042
18.623,121146
18.63,124255
18.638,125313
18.645,125661
18.652,126909
18.66,125266
18.667,124553
18.674,123353
18.682,119414
18.689,117680
18.696,116487
18.704,116300
18.711,116695
18.718,118412
18.726,115885
18.733,119157
18.74,120010
18.748,119111
18.755,122151
18.762,123235
18.77,124644
18.777,126904
18.784,128188
18.791,129984
18.799,135798
18.806,139321
18.813,144689
18.821,152456
18.828,167694
18.835,189047
18.843,220889
18.85,253805
18.857,279780
18.865,299505
18.872,303468
18.879,306079
18.887,296650
18.894,286516
18.901,265878
18.909,238918
18.916,213123
18.923,192783
18.931,174584
18.938,160227
18.945,149502
18.953,143094
18.96,139613
18.967,136259
18.975,129908
18.982,124962
18.989,122583
18.997,115879
19.004,117310
19.011,116247
19.018,116724
19.026,118679
19.033,116377
19.04,117321
19.048,115459
19.055,113974
19.062,112896
19.07,112777
19.077,114237
19.084,118192
19.092,127628
19.099,139113
19.106,154750
19.114,170372
19.121,175066
19.128,176702
19.136,171556
19.143,160739
19.15,152737
19.158,144193
19.165,138218
19.172,130607
19.18,126229
19.187,120085
19.194,114862
19.202,111169
19.209,106542
19.216,104621
19.224,104282
19.231,104676
19.238,103809
19.245,105574
19.253,108704
19.26,109282
19.267,111656
19.275,112549
19.282,115284
19.289,116734
19.297,118842
19.304,119286
19.311,119534
19.319,117874
19.326,117448
19.333,115549
19.341,112272
19.348,110158
19.355,110407
19.363,112087
19.37,109506
19.377,109925
19.385,108433
19.392,107928
19.399,106032
19.407,105498
19.414,104008
19.421,104065
19.429,103943
19.436,102652
19.443,105760
19.45,109007
19.458,117751
19.465,126357
19.472,139641
19.48,147483
19.487,154452
19.494,156463
19.502,150073
19.509,137816
19.516,127701
19.524,118824
19.531,112702
19.538,104535
19.546,104476
19.553,103884
19.56,107664
19.568,109714
19.575,112019
19.582,114010
19.59,111718
19.597,109768
19.604,109254
19.612,107901
19.619,104592
19.626,105388
19.634,104744
19.641,104387
19.648,106956
19.656,112509
19.663,117236
19.67,130419
19.677,147041
19.685,167921
19.692,186961
19.699,204163
19.707,216246
19.714,216049
19.721,203699
19.729,190525
19.736,169780
19.743,155226
19.751,138096
19.758,127603
19.765,118711
19.773,114647
19.78,110490
19.787,108510
19.795,107732
19.802,106330
19.809,107978
19.817,109185
19.824,107271
19.831,107303
19.839,106766
19.846,104039
19.853,104454
19.861,107361
19.868,109200
19.875,115603
19.882,122722
19.89,132782
19.897,149762
19.904,173837
19.912,194207
19.919,213448
19.926,217159
19.934,214125
19.941,197358
19.948,176296
19.956,151807
19.963,137564
19.97,126747
19.978,119315
19.985,116351
19.992,116153
20,115567
20.007,116656
20.014,116167
20.022,115404
20.029,114747
20.036,113132
20.044,114302
20.051,112103
20.058,116295
20.066,120909
20.073,128451
20.08,135628
20.088,142611
20.095,146199
20.102,147828
20.109,150929
20.117,149640
20.124,150927
20.131,151231
20.139,153408
20.146,155616
20.153,158148
20.161,160273
20.168,158192
20.175,158820
20.183,157669
20.19,159789
20.197,165223
20.205,175735
20.212,185072
20.219,185674
20.227,179304
20.234,165613
20.241,151162
20.249,134322
20.256,123189
20.263,112174
20.271,105412
20.278,100637
20.285,97862
20.293,99985
20.3,103505
20.307,113567
20.314,122688
20.322,136258
20.329,148197
20.336,152303
20.344,149310
20.351,139689
20.358,130514
20.366,121551
20.373,113933
20.38,110904
20.388,106809
20.395,105220
20.402,105420
20.41,106504
20.417,104440
20.424,105858
20.432,109650
20.439,110598
20.446,113989
20.454,115405
20.461,117387
20.468,115458
20.476,114961
20.483,115852
20.49,119927
20.498,132454
20.505,146064
20.512,165863
20.519,184934
20.527,193231
20.534,193231
20.541,184609
20.549,170354
20.556,150849
20.563,135643
20.571,122803
20.578,115297
20.585,109186
20.593,109327
20.6,107673
20.607,109030
20.615,112206
20.622,114578
20.629,115932
20.637,115347
20.644,113087
20.651,111295
20.659,105811
20.666,101666
20.673,101788
20.681,99582
20.688,97714
20.695,96005
20.703,94441
20.71,92646
20.717,92398
20.725,90425
20.732,90472
20.739,93047
20.746,96937
20.754,103845
20.761,115758
20.768,131080
20.776,162291
20.783,217542
20.79,293185
20.798,402129
20.805,529683
20.812,652112
20.82,740727
20.827,758883
20.834,695431
20.842,559560
20.849,399660
20.856,278276
20.864,196854
20.871,155612
20.878,134605
20.886,132617
20.893,135085
20.9,145916
20.908,154320
20.915,159111
20.922,158335
20.93,150745
20.937,142659
20.944,132040
20.951,124946
20.959,121508
20.966,117906
20.973,117177
20.981,119526
20.988,125865
20.995,129638
21.003,136336
21.01,140376
21.017,138513
21.025,133586
21.032,128566
21.039,118039
21.047,112189
21.054,106761
21.061,104335
21.069,103081
21.076,102915
21.083,106298
21.091,108666
21.098,110554
21.105,111635
21.113,110846
21.12,111367
21.127,111358
21.135,109608
21.142,111142
21.149,107714
21.157,110072
21.164,111680
21.171,114319
21.178,123762
21.186,135646
21.193,154304
21.2,188536
21.208,239494
21.215,315157
21.222,432850
21.23,591043
21.237,785580
21.244,1025101
21.252,1298625
21.259,1584908
21.266,1848937
